INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,,,,,Occur_Time,Time_of_Day,0:00,6:00
214513028,6/23/2020,18:18:00,BRONX,48,0,CANDY STORE,FALSE,25-44,M,BLACK,25-44,M,BLACK,1016598,249443,40.85128738,-73.88307455,POINT (-73.88307454599999 40.85128738100008),,,,,18:18,Evening,,
213748380,6/1/2020,20:15:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,45-64,M,BLACK,25-44,M,WHITE HISPANIC,997242,193691,40.6983125,-73.9531476,POINT (-73.95314759599995 40.69831250200008),,,,,20:15,Evening,,
214104573,6/12/2020,0:44:00,BRONX,42,0,,FALSE,,,,<18,F,WHITE HISPANIC,1011256,241481,40.82945198,-73.90241608,POINT (-73.90241608299993 40.82945197600003),,,,,0:44,Pre-Dawn Morning,,
210395368,3/3/2020,3:10:00,BROOKLYN,79,0,,TRUE,,,,25-44,M,BLACK,998225,186768,40.67930896,-73.9496169,POINT (-73.94961690299994 40.679308959000025),,,,,3:10,Pre-Dawn Morning,,
213819783,6/3/2020,23:47:00,BROOKLYN,70,0,,FALSE,18-24,M,WHITE,UNKNOWN,M,ASIAN / PACIFIC ISLANDER,995708,176233,40.65039633,-73.95870943,POINT (-73.95870942899995 40.65039633400005),,,,,23:47,Evening,,
212727274,5/5/2020,21:54:00,MANHATTAN,32,0,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,BLACK,1000367,236343,40.8153762,-73.94177548,POINT (-73.94177548299996 40.81537620200004),,,,,21:54,Evening,,
211964520,4/11/2020,19:48:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,25-44,M,BLACK,1001747,228590,40.79409373,-73.93681015,POINT (-73.93681015499999 40.79409372500004),,,,,19:48,Evening,,
211991685,4/13/2020,21:27:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,18-24,M,BLACK,1009656,181287,40.66423942,-73.90842501,POINT (-73.90842501099996 40.66423942200004),,,,,21:27,Evening,,
214778539,6/30/2020,18:49:00,BRONX,47,0,,FALSE,,,,<18,M,BLACK,1024807,261935,40.88554018,-73.85332627,POINT (-73.85332627499997 40.885540183000046),,,,,18:49,Evening,,
213187660,5/15/2020,21:49:00,BROOKLYN,79,0,,FALSE,,,,25-44,F,BLACK,1000638,188057,40.68284283,-73.9409141,POINT (-73.94091409899994 40.68284283300005),,,,,21:49,Evening,,
